metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,255.25,269.0,128.0,355.0,106.02004527446685,11240.25,188.75,335.5
Tornado_Count,20.5,20.5,15.0,26.0,4.654746681256314,21.666666666666668,18.0,23.0
ThunderstormWind_Deaths,1.5,0.5,0.0,5.0,2.3804761428476167,5.666666666666667,0.0,2.0
Tornado_Deaths,3.0,1.5,0.0,9.0,4.08248290463863,16.666666666666668,0.75,3.75
ThunderstormWind_Injuries,2.75,2.0,1.0,6.0,2.217355782608345,4.916666666666667,1.75,3.0
Tornado_Injuries,17.25,7.0,3.0,52.0,23.30057223903882,542.9166666666666,4.5,19.75
ThunderstormWind_PropertyDamages,2423512.5,1959625.0,1120000.0,4654800.0,1540007.6841664352,2371623667291.6665,1706312.5,2676825.0
Tornado_PropertyDamages,66133375.0,3829000.0,2412000.0,254463500.0,125555886.81896135,1.5764280714895832e+16,3091500.0,66870875.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,1.25,1.0,1.0,2.0,0.5,0.25,1.0,1.25
TropicalDepression_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Count,7.0,8.0,3.0,9.0,2.8284271247461903,8.0,6.0,9.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_PropertyDamages,1010000.0,225000.0,0.0,3590000.0,1724354.9518588104,2973400000000.0,112500.0,1122500.0
TropicalDepression_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_PropertyDamages,1022715.0,1115000.0,150000.0,1710860.0,779884.1911249815,608219351566.6666,472500.0,1665215.0
Flood_Count,8.0,9.5,1.0,12.0,5.228129047119374,27.333333333333332,5.5,12.0
Hail_Count,44.5,40.5,21.0,76.0,23.530122538284125,553.6666666666666,30.75,54.25
Flood_Deaths,0.5,0.0,0.0,2.0,1.0,1.0,0.0,0.5
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,2605115.0,2737730.0,1785000.0,3160000.0,620290.6949433736,384760546233.3333,2302095.0,3040750.0
Hail_PropertyDamages,19000.0,10500.0,0.0,55000.0,25961.50997149434,674000000.0,0.0,29500.0
Avg_Hail_Size,1.2203792746101803,1.1759896416573348,0.9938235294117648,1.5357142857142858,0.25440210949929565,0.06472043331769162,1.025104818523154,1.371264097744361
Avg_ThWind_Speed,52.416180959960165,51.83950024479343,51.54822335025381,54.4375,1.3546441454777098,1.8350607608770344,51.75007978965926,52.50560141509433
Avg_Tor_EF,0.49478284873021716,0.47377622377622375,0.4,0.631578947368421,0.11097732121450202,0.012315965823946758,0.40681818181818186,0.561740890688259
