metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,209.0,209.0,209.0,209.0,,,209.0,209.0
Tornado_Count,37.0,37.0,37.0,37.0,,,37.0,37.0
ThunderstormWind_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Tornado_Deaths,6.0,6.0,6.0,6.0,,,6.0,6.0
ThunderstormWind_Injuries,3.0,3.0,3.0,3.0,,,3.0,3.0
Tornado_Injuries,24.0,24.0,24.0,24.0,,,24.0,24.0
ThunderstormWind_PropertyDamages,1085000.0,1085000.0,1085000.0,1085000.0,,,1085000.0,1085000.0
Tornado_PropertyDamages,51848900.0,51848900.0,51848900.0,51848900.0,,,51848900.0,51848900.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Count,3.0,3.0,3.0,3.0,,,3.0,3.0
TropicalStorm_Count,5.0,5.0,5.0,5.0,,,5.0,5.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Deaths,1.0,1.0,1.0,1.0,,,1.0,1.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_PropertyDamages,10000.0,10000.0,10000.0,10000.0,,,10000.0,10000.0
TropicalStorm_PropertyDamages,235000.0,235000.0,235000.0,235000.0,,,235000.0,235000.0
Flood_Count,3.0,3.0,3.0,3.0,,,3.0,3.0
Hail_Count,73.0,73.0,73.0,73.0,,,73.0,73.0
Flood_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Flood_PropertyDamages,5000.0,5000.0,5000.0,5000.0,,,5000.0,5000.0
Hail_PropertyDamages,611000.0,611000.0,611000.0,611000.0,,,611000.0,611000.0
Avg_Hail_Size,1.2009589041095892,1.2009589041095892,1.2009589041095892,1.2009589041095892,,,1.2009589041095892,1.2009589041095892
Avg_ThWind_Speed,50.36842105263158,50.36842105263158,50.36842105263158,50.36842105263158,,,50.36842105263158,50.36842105263158
Avg_Tor_EF,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,,,0.7297297297297297,0.7297297297297297
