metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,217.0,217.0,183.0,251.0,48.08326112068523,2312.0,200.0,234.0
Tornado_Count,51.5,51.5,47.0,56.0,6.363961030678928,40.5,49.25,53.75
ThunderstormWind_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tornado_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThunderstormWind_Injuries,11.5,11.5,9.0,14.0,3.5355339059327378,12.5,10.25,12.75
Tornado_Injuries,8.5,8.5,7.0,10.0,2.1213203435596424,4.5,7.75,9.25
ThunderstormWind_PropertyDamages,4036750.0,4036750.0,2409500.0,5664000.0,2301279.019371619,5295885125000.0,3223125.0,4850375.0
Tornado_PropertyDamages,3193000.0,3193000.0,2202000.0,4184000.0,1401485.640311737,1964162000000.0,2697500.0,3688500.0
CoastalFlood_Count,11.0,11.0,6.0,16.0,7.0710678118654755,50.0,8.5,13.5
StormSurge/Tide_Count,19.0,19.0,19.0,19.0,0.0,0.0,19.0,19.0
CoastalFlood_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StormSurge/Tide_Deaths,0.5,0.5,0.0,1.0,0.7071067811865476,0.5,0.25,0.75
CoastalFlood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StormSurge/Tide_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoastalFlood_PropertyDamages,35000.0,35000.0,20000.0,50000.0,21213.203435596424,450000000.0,27500.0,42500.0
StormSurge/Tide_PropertyDamages,12514000.0,12514000.0,9528000.0,15500000.0,4222841.697246062,17832392000000.0,11021000.0,14007000.0
Hurricane_Count,11.5,11.5,11.0,12.0,0.7071067811865476,0.5,11.25,11.75
TropicalDepression_Count,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
TropicalStorm_Count,31.5,31.5,30.0,33.0,2.1213203435596424,4.5,30.75,32.25
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_PropertyDamages,1965307500.0,1965307500.0,234555000.0,3696060000.0,2447653658.6111403,5.9910084325125e+18,1099931250.0,2830683750.0
TropicalDepression_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_PropertyDamages,5170000.0,5170000.0,4380000.0,5960000.0,1117228.7142747452,1248200000000.0,4775000.0,5565000.0
Flood_Count,8.5,8.5,8.0,9.0,0.7071067811865476,0.5,8.25,8.75
Hail_Count,107.0,107.0,94.0,120.0,18.384776310850235,338.0,100.5,113.5
Flood_Deaths,0.5,0.5,0.0,1.0,0.7071067811865476,0.5,0.25,0.75
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,19000.0,19000.0,18000.0,20000.0,1414.213562373095,2000000.0,18500.0,19500.0
Hail_PropertyDamages,34000.0,34000.0,17000.0,51000.0,24041.630560342615,578000000.0,25500.0,42500.0
Avg_Hail_Size,1.1189787234042554,1.1189787234042554,1.042,1.1959574468085106,0.10886435465246498,0.011851447713897675,1.0804893617021276,1.157468085106383
Avg_ThWind_Speed,54.27970086865652,54.27970086865652,54.21513944223108,54.34426229508197,0.09130364485701774,0.008336355564176423,54.2474201554438,54.31198158186925
Avg_Tor_EF,0.5036094224924013,0.5036094224924013,0.4893617021276595,0.5178571428571429,0.020149319372717054,0.00040599507118375077,0.4964855623100304,0.510733282674772
