metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,788.3333333333334,740.0,672.0,953.0,146.6026375388019,21492.333333333332,706.0,846.5
Tornado_Count,34.333333333333336,28.0,25.0,50.0,13.650396819628847,186.33333333333334,26.5,39.0
ThunderstormWind_Deaths,1.3333333333333333,1.0,1.0,2.0,0.5773502691896257,0.3333333333333333,1.0,1.5
Tornado_Deaths,3.3333333333333335,0.0,0.0,10.0,5.773502691896257,33.33333333333333,0.0,5.0
ThunderstormWind_Injuries,7.333333333333333,2.0,1.0,19.0,10.115993936995679,102.33333333333334,1.5,10.5
Tornado_Injuries,5.333333333333333,5.0,3.0,8.0,2.516611478423583,6.333333333333333,4.0,6.5
ThunderstormWind_PropertyDamages,16222100.0,15055900.0,10942500.0,22667900.0,5949056.069663489,35391268120000.0,12999200.0,18861900.0
Tornado_PropertyDamages,2448333.3333333335,1822000.0,633000.0,4890000.0,2196527.3349843235,4824732333333.334,1227500.0,3356000.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Count,1.3333333333333333,2.0,0.0,2.0,1.1547005383792517,1.3333333333333335,1.0,2.0
TropicalStorm_Count,2.3333333333333335,2.0,2.0,3.0,0.5773502691896258,0.33333333333333337,2.0,2.5
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_PropertyDamages,10000.0,5000.0,0.0,25000.0,13228.756555322952,175000000.0,2500.0,15000.0
TropicalStorm_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Count,37.666666666666664,44.0,20.0,49.0,15.50268793897798,240.33333333333334,32.0,46.5
Hail_Count,193.66666666666666,148.0,87.0,346.0,135.40433277164115,18334.333333333336,117.5,247.0
Flood_Deaths,0.3333333333333333,0.0,0.0,1.0,0.5773502691896258,0.33333333333333337,0.0,0.5
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,342666.6666666667,10000.0,0.0,1018000.0,584877.1950874245,342081333333.33325,5000.0,514000.0
Hail_PropertyDamages,100166.66666666667,24000.0,6500.0,270000.0,147340.02624315408,21709083333.33333,15250.0,147000.0
Avg_Hail_Size,1.1052530704912609,1.1235135135135137,1.0614942528735631,1.130751445086705,0.03806865512253796,0.0014492225028387357,1.0925038831935385,1.1271324793001094
Avg_ThWind_Speed,49.31925628359452,49.09375,48.40861344537815,50.45540540540541,1.0418633043079661,1.0854791448635137,48.751181722689076,49.7745777027027
Avg_Tor_EF,0.8114285714285714,0.72,0.7142857142857143,1.0,0.16333263917664517,0.026677551020408165,0.7171428571428571,0.86
