metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,231.47058823529412,210.0,89.0,414.0,102.10234916926424,10424.889705882355,175.0,336.0
Tornado_Count,33.0,32.0,12.0,54.0,11.034038245356955,121.75,28.0,37.0
ThunderstormWind_Deaths,0.35294117647058826,0.0,0.0,2.0,0.6063390625908325,0.3676470588235295,0.0,1.0
Tornado_Deaths,10.411764705882353,6.0,0.0,32.0,10.547860111945761,111.25735294117645,2.0,19.0
ThunderstormWind_Injuries,6.647058823529412,3.0,0.0,35.0,8.859607613140865,78.49264705882356,1.0,8.0
Tornado_Injuries,45.294117647058826,25.0,0.0,201.0,52.29216564874029,2734.4705882352937,11.0,59.0
ThunderstormWind_PropertyDamages,1846785.294117647,1345500.0,621000.0,4290500.0,1261705.5591743544,1591900918051.4702,1019500.0,2066400.0
Tornado_PropertyDamages,103069300.0,20934000.0,1017000.0,1001723000.0,239900207.79130486,5.755210969831125e+16,10609000.0,50610000.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Count,1.2352941176470589,1.0,0.0,3.0,0.7524469885568255,0.5661764705882354,1.0,2.0
TropicalStorm_Count,2.3529411764705883,2.0,1.0,4.0,0.701888209634219,0.4926470588235295,2.0,3.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.058823529411764705,0.0,0.0,1.0,0.242535625036333,0.05882352941176472,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_PropertyDamages,2235.294117647059,0.0,0.0,20000.0,5117.7315746909035,26191176.470588233,0.0,1000.0
TropicalStorm_PropertyDamages,500294.1176470588,97000.0,0.0,3060000.0,834770.3849491999,696841595588.2354,0.0,565000.0
Flood_Count,10.176470588235293,6.0,0.0,35.0,10.560748636564828,111.52941176470588,3.0,13.0
Hail_Count,95.58823529411765,85.0,41.0,169.0,33.49637820632518,1122.0073529411766,77.0,121.0
Flood_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,83529.41176470589,0.0,0.0,1100000.0,272441.3050656643,74224264705.88235,0.0,0.0
Hail_PropertyDamages,336764.70588235295,75000.0,1000.0,2711000.0,728486.2326608998,530692191176.47064,49000.0,154000.0
Avg_Hail_Size,1.1409860477138474,1.139156626506024,1.04,1.2564462809917356,0.0528324476602512,0.0027912675257731824,1.099529411764706,1.1737593984962404
Avg_ThWind_Speed,51.82653263849814,51.82,50.74045801526717,53.59487179487179,0.7981132526116432,0.6369847639943367,51.15135135135135,52.39247311827957
Avg_Tor_EF,1.018249318579721,1.0,0.5370370370370371,1.4,0.2040633921242842,0.041641868005269374,0.9375,1.1666666666666667
