metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,93.48,73.0,41.0,258.0,50.92978827104363,2593.8433333333332,62.0,110.0
Tornado_Count,23.24,22.0,7.0,40.0,9.10256374142289,82.85666666666665,18.0,31.0
ThunderstormWind_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tornado_Deaths,2.28,0.0,0.0,23.0,5.623759122390171,31.62666666666666,0.0,2.0
ThunderstormWind_Injuries,0.84,0.0,0.0,4.0,1.1789826122551597,1.39,0.0,1.0
Tornado_Injuries,15.44,7.0,0.0,109.0,24.669616940682317,608.59,2.0,15.0
ThunderstormWind_PropertyDamages,511924.0,389000.0,89000.0,1382000.0,354877.6808399386,125938168358.33333,298000.0,555500.0
Tornado_PropertyDamages,15072688.0,2240000.0,159000.0,127124000.0,32867373.585100442,1080264246382558.4,809000.0,14350000.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Count,2.08,2.0,2.0,3.0,0.2768874620972691,0.07666666666666665,2.0,2.0
TropicalStorm_Count,3.76,4.0,2.0,5.0,0.8306623862918078,0.6900000000000004,3.0,4.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.4,0.0,0.0,4.0,0.9128709291752769,0.8333333333333334,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_PropertyDamages,5840.0,6000.0,1000.0,22000.0,5169.461609619839,26723333.333333332,2000.0,7000.0
TropicalStorm_PropertyDamages,776280.0,175000.0,33000.0,4210000.0,1210408.9019831275,1465089710000.0,68000.0,840000.0
Flood_Count,2.88,2.0,0.0,8.0,2.7129319932501073,7.36,1.0,6.0
Hail_Count,59.8,58.0,15.0,140.0,30.262738364750362,915.8333333333335,40.0,71.0
Flood_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,229360.0,0.0,0.0,2526000.0,603206.2858867879,363857823333.3333,0.0,23000.0
Hail_PropertyDamages,184740.0,131000.0,1000.0,793000.0,177691.8634415581,31574398333.333332,83000.0,259000.0
Avg_Hail_Size,1.1684474069087558,1.1952542372881356,0.9673333333333332,1.3253333333333333,0.10446883902231772,0.010913738326670934,1.1110169491525423,1.2445238095238094
Avg_ThWind_Speed,51.44665351727519,51.40963855421687,50.23275862068966,52.46341463414634,0.5832201795721496,0.34014577786017036,51.013888888888886,51.93181818181818
Avg_Tor_EF,0.7912673391400296,0.7647058823529411,0.3684210526315789,1.3,0.23944573317030426,0.057334259133464544,0.65625,0.9166666666666666
