metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,317.5,317.5,242.0,393.0,106.77312395916867,11400.5,279.75,355.25
Tornado_Count,56.5,56.5,52.0,61.0,6.363961030678928,40.5,54.25,58.75
ThunderstormWind_Deaths,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0
Tornado_Deaths,39.5,39.5,24.0,55.0,21.920310216782973,480.5,31.75,47.25
ThunderstormWind_Injuries,9.5,9.5,4.0,15.0,7.7781745930520225,60.5,6.75,12.25
Tornado_Injuries,902.0,902.0,840.0,964.0,87.68124086713189,7688.0,871.0,933.0
ThunderstormWind_PropertyDamages,2953300.0,2953300.0,2808600.0,3098000.0,204636.70247538685,41876180000.0,2880950.0,3025650.0
Tornado_PropertyDamages,1136521500.0,1136521500.0,737010000.0,1536033000.0,564994581.6240188,3.192188772645e+17,936765750.0,1336277250.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Count,2.5,2.5,2.0,3.0,0.7071067811865476,0.5,2.25,2.75
TropicalStorm_Count,3.0,3.0,2.0,4.0,1.4142135623730951,2.0,2.5,3.5
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,1.0,1.0,0.0,2.0,1.4142135623730951,2.0,0.5,1.5
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_PropertyDamages,7500.0,7500.0,2000.0,13000.0,7778.174593052023,60500000.0,4750.0,10250.0
TropicalStorm_PropertyDamages,6050000.0,6050000.0,5700000.0,6400000.0,494974.74683058326,245000000000.0,5875000.0,6225000.0
Flood_Count,11.0,11.0,10.0,12.0,1.4142135623730951,2.0,10.5,11.5
Hail_Count,214.0,214.0,165.0,263.0,69.29646455628166,4802.0,189.5,238.5
Flood_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,10000.0,10000.0,0.0,20000.0,14142.13562373095,200000000.0,5000.0,15000.0
Hail_PropertyDamages,958000.0,958000.0,590000.0,1326000.0,520430.59095329896,270848000000.0,774000.0,1142000.0
Avg_Hail_Size,1.091112455351999,1.091112455351999,1.0773764258555134,1.104848484848485,0.019425679207087064,0.00037735701265665474,1.0842444406037564,1.097980470100242
Avg_ThWind_Speed,52.0154747849553,52.0154747849553,51.83673469387755,52.19421487603306,0.2527766609419603,0.06389604031696673,51.92610473941643,52.10484483049418
Avg_Tor_EF,0.9864438839848675,0.9864438839848675,0.9344262295081968,1.0384615384615383,0.07356407244374537,0.005411672754508616,0.9604350567465322,1.012452711223203
