metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,133.45454545454547,118.0,43.0,314.0,78.16183677008063,6109.272727272727,88.0,150.5
Tornado_Count,17.636363636363637,17.0,9.0,27.0,5.869799439039246,34.45454545454545,13.0,21.0
ThunderstormWind_Deaths,0.09090909090909091,0.0,0.0,1.0,0.3015113445777636,0.09090909090909087,0.0,0.0
Tornado_Deaths,0.6363636363636364,0.0,0.0,3.0,1.0269106361049412,1.0545454545454547,0.0,1.0
ThunderstormWind_Injuries,2.090909090909091,1.0,0.0,13.0,4.011347540529129,16.09090909090909,0.0,1.0
Tornado_Injuries,9.181818181818182,3.0,0.0,34.0,13.044678469155013,170.16363636363636,1.0,12.0
ThunderstormWind_PropertyDamages,1369454.5454545454,1210000.0,390000.0,2246000.0,666383.2119938743,444066585227.27277,852500.0,2013375.0
Tornado_PropertyDamages,6153363.636363637,2093000.0,561000.0,21832000.0,6864825.624482056,47125830854545.45,1585000.0,8193500.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,1.9090909090909092,2.0,1.0,3.0,0.8312094145936334,0.6909090909090908,1.0,2.5
TropicalDepression_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Count,4.7272727272727275,4.0,3.0,9.0,2.053821272209882,4.218181818181818,3.0,5.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hurricane_PropertyDamages,36363.63636363636,0.0,0.0,300000.0,92441.62777371754,8545454545.454546,0.0,0.0
TropicalDepression_PropertyDamages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TropicalStorm_PropertyDamages,233235.45454545456,5000.0,0.0,1125000.0,410046.1801154509,168137869827.27277,0.0,252500.0
Flood_Count,1.8181818181818181,2.0,0.0,6.0,1.8877596148970777,3.5636363636363626,0.0,3.0
Hail_Count,35.18181818181818,31.0,17.0,76.0,17.752848683060314,315.1636363636364,22.0,43.0
Flood_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail_Injuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood_PropertyDamages,235090.9090909091,228000.0,0.0,767000.0,256159.8932485156,65617890909.09092,0.0,300500.0
Hail_PropertyDamages,265272.7272727273,3000.0,0.0,1410000.0,545453.9560602877,297520018181.8182,0.0,83000.0
Avg_Hail_Size,1.117538767078537,1.1357894736842105,0.9356521739130436,1.3021951219512196,0.1024399675676009,0.010493946955251125,1.0760739130434782,1.1684714076246334
Avg_ThWind_Speed,53.4820860062158,53.49339207048458,51.43373493975904,55.30232558139535,1.304719011234627,1.7022916982770624,52.57898027229786,54.41831831831831
Avg_Tor_EF,0.7539519699947508,0.75,0.45,1.2222222222222223,0.24218752332755794,0.058654796455536416,0.5568627450980392,0.8776223776223777
