metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,368.0,368.0,368.0,368.0,,,368.0,368.0
Tornado_Count,43.0,43.0,43.0,43.0,,,43.0,43.0
ThunderstormWind_Deaths,2.0,2.0,2.0,2.0,,,2.0,2.0
Tornado_Deaths,6.0,6.0,6.0,6.0,,,6.0,6.0
ThunderstormWind_Injuries,3.0,3.0,3.0,3.0,,,3.0,3.0
Tornado_Injuries,97.0,97.0,97.0,97.0,,,97.0,97.0
ThunderstormWind_PropertyDamages,1667000.0,1667000.0,1667000.0,1667000.0,,,1667000.0,1667000.0
Tornado_PropertyDamages,16066000.0,16066000.0,16066000.0,16066000.0,,,16066000.0,16066000.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Count,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Count,3.0,3.0,3.0,3.0,,,3.0,3.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_PropertyDamages,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_PropertyDamages,2000.0,2000.0,2000.0,2000.0,,,2000.0,2000.0
Flood_Count,22.0,22.0,22.0,22.0,,,22.0,22.0
Hail_Count,144.0,144.0,144.0,144.0,,,144.0,144.0
Flood_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Flood_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Hail_Injuries,1.0,1.0,1.0,1.0,,,1.0,1.0
Flood_PropertyDamages,465000.0,465000.0,465000.0,465000.0,,,465000.0,465000.0
Hail_PropertyDamages,96000.0,96000.0,96000.0,96000.0,,,96000.0,96000.0
Avg_Hail_Size,1.1104166666666666,1.1104166666666666,1.1104166666666666,1.1104166666666666,,,1.1104166666666666,1.1104166666666666
Avg_ThWind_Speed,51.10597826086956,51.10597826086956,51.10597826086956,51.10597826086956,,,51.10597826086956,51.10597826086956
Avg_Tor_EF,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,,,1.0232558139534884,1.0232558139534884
