County,County_FIPS,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages
AUTAUGA CO.,1,131,35,0,10,3,73,1789000,13711600,,,,,,,,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,260000.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,2711000.0
BALDWIN CO.,3,183,47,0,0,14,7,2409500,2202000,6.0,19.0,0.0,1.0,0.0,0.0,20000.0,9528000.0,12.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,234555000.0,0.0,4380000.0,9.0,94.0,1.0,0.0,0.0,0.0,18000.0,17000.0
BARBOUR CO.,5,62,35,0,0,0,4,138000,745000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,77000.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,83000.0
BIBB CO.,7,70,27,0,1,1,16,389000,14452750,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,260000.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,259000.0
BLOUNT CO.,9,210,40,0,0,15,40,694000,28673500,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,97000.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0,40000.0
BULLOCK CO.,11,48,19,0,0,0,0,493000,159000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,64000.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,14000.0
BUTLER CO.,13,86,13,1,0,1,3,1210000,561000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434000.0,1.0,23.0,0.0,0.0,0.0,0.0,600000.0,1000.0
CALHOUN CO.,15,142,18,0,17,0,54,1140000,127124000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,56000.0,2.0,115.0,0.0,0.0,0.0,0.0,0.0,433500.0
CHAMBERS CO.,17,73,17,0,0,0,2,306000,2113000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,33000.0,3.0,59.0,0.0,0.0,0.0,0.0,2526000.0,26000.0
CHEROKEE CO.,19,153,10,0,3,2,33,555500,20639000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,108000.0,8.0,90.0,0.0,0.0,0.0,0.0,0.0,89000.0
CHILTON CO.,21,106,22,0,0,0,1,521000,848000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,180000.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,183000.0
CHOCTAW CO.,23,118,26,0,0,0,4,718000,15062000,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1321000.0
CLARKE CO.,25,227,22,0,0,0,2,1095000,718000,,,,,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,255000.0,115000.0
CLAY CO.,27,83,11,0,0,1,1,298000,411000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,69000.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,7000.0
CLEBURNE CO.,29,63,7,0,0,0,0,611100,1900000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,49000.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1000.0
COFFEE CO.,31,329,15,1,9,1,52,1901750,254463500,,,,,,,,,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,1650000.0,7.0,34.0,2.0,0.0,0.0,0.0,1785000.0,55000.0
COLBERT CO.,33,672,28,1,0,1,3,22667900,633000,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,20.0,87.0,0.0,0.0,0.0,0.0,0.0,24000.0
CONECUH CO.,35,74,15,0,1,1,0,1987000,2093000,,,,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
COOSA CO.,37,44,18,0,0,0,2,89000,415100,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,140000.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,25000.0
COVINGTON CO.,39,128,22,0,2,2,3,1120000,4340000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,1.0,76.0,0.0,0.0,0.0,0.0,3160000.0,21000.0
CRENSHAW CO.,41,122,17,0,0,0,0,1561000,1187000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,2.0,21.0,0.0,0.0,0.0,0.0,135000.0,17000.0
CULLMAN CO.,43,373,53,1,2,17,11,4144500,23855000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,169.0,0.0,0.0,0.0,0.0,310000.0,49000.0
